country,year,inflation_rate
Netherlands,2017,1.2833333333333334
Netherlands,2018,1.5999999999999999
Netherlands,2019,2.6666666666666665
Netherlands,2020,1.125
Netherlands,2021,2.8249999999999997
Netherlands,2022,11.616666666666667
Netherlands,2023,4.216666666666667
Netherlands,2024,3.225
Netherlands,2025,2.9916666666666667
Poland,2010,2.658333333333333
Poland,2011,3.908333333333333
Poland,2012,3.6750000000000003
Poland,2013,0.8250000000000001
Poland,2014,0.09999999999999999
Poland,2015,-0.7000000000000001
Poland,2016,-0.19166666666666665
Poland,2017,1.6333333333333335
Poland,2018,1.1583333333333334
Poland,2019,2.15
Poland,2020,3.641666666666667
Poland,2021,5.233333333333333
Poland,2022,13.158333333333333
Poland,2023,10.991666666666667
Poland,2024,3.6666666666666665
Poland,2025,3.3666666666666667
Portugal,2010,1.3833333333333335
Portugal,2011,3.5500000000000003
Portugal,2012,2.7583333333333333
Portugal,2013,0.45
Portugal,2014,-0.15833333333333333
Portugal,2015,0.5
Portugal,2016,0.6416666666666667
Portugal,2017,1.55
Portugal,2018,1.1583333333333334
Portugal,2019,0.3
Portugal,2020,-0.125
Portugal,2021,0.9333333333333332
Portugal,2022,8.075000000000001
Portugal,2023,5.333333333333333
Portugal,2024,2.6750000000000003
Portugal,2025,2.1999999999999997
Romania,2010,6.058333333333334
Romania,2011,5.875
Romania,2012,3.3833333333333333
Romania,2013,3.2083333333333335
Romania,2014,1.3833333333333335
Romania,2015,-0.40833333333333327
Romania,2016,-1.0333333333333334
Romania,2017,1.0916666666666666
Romania,2018,4.075
Romania,2019,3.908333333333333
Romania,2020,2.3333333333333335
Romania,2021,4.108333333333333
Romania,2022,11.975
Romania,2023,9.816666666666666
Romania,2024,5.8500000000000005
Romania,2025,6.75
Slovakia,2010,0.7083333333333334
Slovakia,2011,4.083333333333333
Slovakia,2012,3.7583333333333333
Slovakia,2013,1.4666666666666668
Slovakia,2014,-0.09166666666666667
Slovakia,2015,-0.3333333333333333
Slovakia,2016,-0.48333333333333334
Slovakia,2017,1.3916666666666666
Slovakia,2018,2.5416666666666665
Slovakia,2019,2.775
Slovakia,2020,2.0083333333333333
Slovakia,2021,2.8166666666666664
Slovakia,2022,12.108333333333334
Slovakia,2023,11.091666666666667
Slovakia,2024,3.141666666666667
Slovakia,2025,4.241666666666666
Slovenia,2010,2.0500000000000003
Slovenia,2011,2.0749999999999997
Slovenia,2012,2.8083333333333336
Slovenia,2013,1.9333333333333333
Slovenia,2014,0.3666666666666667
Slovenia,2015,-0.7583333333333333
Slovenia,2016,-0.15000000000000002
Slovenia,2017,1.5583333333333333
Slovenia,2018,1.9333333333333333
Slovenia,2019,1.6916666666666667
Slovenia,2020,-0.25833333333333336
Slovenia,2021,2.0416666666666665
Slovenia,2022,9.291666666666666
Slovenia,2023,7.291666666666667
Slovenia,2024,2.0083333333333333
Slovenia,2025,2.4916666666666667
Spain,2010,2.058333333333333
Spain,2011,3.0583333333333336
Spain,2012,2.433333333333333
Spain,2013,1.5333333333333332
Spain,2014,-0.19166666666666668
Spain,2015,-0.625
Spain,2016,-0.3416666666666666
Spain,2017,2.033333333333333
Spain,2018,1.7249999999999999
Spain,2019,0.7833333333333333
Spain,2020,-0.3333333333333333
Spain,2021,3.0083333333333333
Spain,2022,8.333333333333334
Spain,2023,3.4333333333333336
Spain,2024,2.8666666666666667
Spain,2025,2.6916666666666664
Sweden,2010,1.9083333333333332
Sweden,2011,1.3583333333333334
Sweden,2012,0.9416666666666668
Sweden,2013,0.4583333333333333
Sweden,2014,0.19166666666666665
Sweden,2015,0.6916666666666668
Sweden,2016,1.125
Sweden,2017,1.8666666666666665
Sweden,2018,2.0500000000000003
Sweden,2019,1.7249999999999999
Sweden,2020,0.6583333333333333
Sweden,2021,2.65
Sweden,2022,8.033333333333333
Sweden,2023,5.983333333333333
Sweden,2024,2.0
Sweden,2025,2.6083333333333334
